Item,Value(Gold Drakes)
Awesome Rubber Sausages,223.93
Ergonomic Bronze Sausages,165.66
Handcrafted Cotton Shoes,362.57
Incredible Concrete Chicken,315.53
Handcrafted Steel Chair,893.32
Intelligent Rubber Chips,322.05
Modern Wooden Bike,500.45
Sleek Wooden Shoes,425.54
Handcrafted Bronze Sausages,957.45
Electronic Concrete Car,62.54
Sleek Soft Towels,598.51
Licensed Bronze Ball,736.44
Awesome Concrete Shirt,226.32
Generic Wooden Hat,672.29
Refined Metal Fish,836.1
Awesome Plastic Soap,164.02
Generic Metal Chicken,957.12
Generic Cotton Pants,637.58
Gorgeous Cotton Cheese,707.79
Awesome Plastic Cheese,511.06
Handcrafted Plastic Table,124.07
