Item,Value(Gold Drakes)
Small Cotton Bike,238.76
Recycled Frozen Sausages,507.37
Recycled Concrete Tuna,903.2
Gorgeous Metal Fish,26.74
Elegant Bronze Bike,889.38
Tasty Wooden Chips,464.45
Fantastic Cotton Chicken,401.3
Generic Fresh Computer,507.75
Ergonomic Soft Car,609.71
Luxurious Steel Chicken,274.18
Modern Metal Chips,392.95
Modern Rubber Chicken,454.6
Gorgeous Plastic Bike,183.03
Generic Rubber Gloves,929.95
Sleek Cotton Computer,414.33
Electronic Metal Pants,702.77
Incredible Wooden Computer,47.23
Luxurious Rubber Cheese,596.03
Fantastic Fresh Sausages,542.2
Ergonomic Wooden Cheese,819.87
Small Concrete Cheese,861.87
