Item,Value(Gold Drakes)
Electronic Metal Hat,237.55
Oriental Metal Chair,350.9
Electronic Soft Keyboard,57.65
Incredible Metal Bike,401.83
Rustic Soft Chicken,828.68
Oriental Soft Keyboard,333.11
Intelligent Fresh Fish,261.31
Bespoke Cotton Bike,155.63
Incredible Steel Soap,659.69
Bespoke Concrete Bike,219.15
Tasty Granite Fish,10.28
Oriental Fresh Table,620.44
Refined Steel Table,158.94
Handmade Wooden Towels,282.13
Modern Soft Shoes,513.15
Rustic Metal Bike,946.92
Elegant Wooden Pizza,861.11
Recycled Concrete Keyboard,792.39
Generic Fresh Salad,620.28
Oriental Granite Gloves,682.64
Handcrafted Steel Computer,333.92
Fantastic Plastic Keyboard,466.47
Intelligent Granite Fish,815.67
Incredible Granite Salad,956.75
Incredible Granite Shirt,989.37
Generic Plastic Chair,117.17
Tasty Frozen Towels,145.39
