Item,Value(Gold Drakes)
Handmade Cotton Towels,36.28
Fantastic Rubber Sausages,932.03
Ergonomic Metal Chicken,864.07
Incredible Wooden Keyboard,755.91
Recycled Cotton Soap,14.48
Refined Fresh Shirt,841.35
Rustic Soft Bike,232.83
Fantastic Rubber Gloves,442.34
Fantastic Fresh Pants,534.01
Handmade Bronze Computer,4.47
Elegant Wooden Tuna,695.07
Rustic Fresh Soap,852.11
Electronic Plastic Salad,449.53
Intelligent Granite Fish,294.96
Refined Plastic Sausages,196.31
Handmade Bronze Gloves,680.83
Modern Rubber Mouse,352.35
Handmade Soft Pizza,514.44
Electronic Frozen Soap,61.19
Intelligent Rubber Car,647.2
Small Plastic Car,917.01
