Item,Value(Gold Drakes)
Recycled Soft Shirt,724.9
Intelligent Fresh Fish,247.79
Elegant Concrete Chair,645.72
Tasty Soft Chips,312.61
Luxurious Wooden Salad,550.01
Fantastic Bronze Mouse,299.23
Modern Wooden Pants,312.99
Ergonomic Concrete Bacon,804.92
Gorgeous Bronze Chicken,766.64
Luxurious Frozen Keyboard,516
Gorgeous Plastic Car,705.19
Oriental Steel Sausages,699.34
Handcrafted Cotton Gloves,677.78
Small Fresh Hat,311.71
Licensed Soft Shirt,252.77
Refined Bronze Sausages,254.2
Incredible Rubber Shirt,7.74
Sleek Bronze Fish,135.18
Handmade Fresh Soap,16.68
Modern Bronze Soap,399.86
Tasty Rubber Fish,508.72
Luxurious Wooden Bacon,58.93
Intelligent Granite Salad,65.75
Awesome Granite Shirt,6.88
