Item,Value(Gold Drakes)
Gorgeous Soft Cheese,319.12
Generic Fresh Bike,789.35
Small Soft Mouse,325.76
Elegant Wooden Shoes,503.28
Electronic Bronze Fish,138.08
Luxurious Bronze Cheese,623.88
Ergonomic Concrete Ball,197.61
Handcrafted Frozen Salad,834.32
Gorgeous Bronze Bacon,742.24
Bespoke Soft Pants,50.91
Modern Rubber Sausages,875.45
Practical Frozen Salad,439.65
Handcrafted Granite Pants,996.5
Sleek Rubber Car,203.96
Gorgeous Steel Fish,247.77
Bespoke Frozen Bacon,783.14
Intelligent Steel Mouse,203.93
Awesome Cotton Pizza,200.21
Small Bronze Computer,906.61
Incredible Soft Table,558.54
Small Plastic Soap,866.64
Oriental Granite Cheese,315.07
Tasty Plastic Shirt,70.71
Oriental Plastic Bacon,910.34
Generic Frozen Chair,774.66
Ergonomic Metal Gloves,144.17
