Item,Value(Gold Drakes)
Tasty Concrete Chicken,966.28
Tasty Metal Tuna,24.02
Intelligent Soft Pants,302.19
Unbranded Fresh Car,247.09
Small Rubber Pants,507.88
Tasty Bronze Tuna,879.73
Electronic Fresh Soap,688.67
Gorgeous Granite Salad,58.69
Modern Metal Hat,146.51
Small Metal Shoes,849.4
Awesome Metal Table,649.39
Unbranded Granite Mouse,62.44
Oriental Metal Tuna,766.32
Elegant Granite Hat,220.69
Ergonomic Soft Bacon,805.55
Unbranded Frozen Chair,957.22
Oriental Concrete Chair,531.92
Sleek Granite Sausages,874.6
Unbranded Rubber Sausages,907.26
Sleek Bronze Computer,644.41
Electronic Steel Car,583.48
Sleek Steel Towels,186.23
Modern Metal Mouse,226.76
Licensed Frozen Computer,375.18
