Item,Value(Gold Drakes)
Awesome Fresh Chicken,867.93
Awesome Frozen Chicken,465
Electronic Concrete Bike,401.64
Handmade Plastic Sausages,562.49
Handmade Bronze Car,44.85
Licensed Fresh Cheese,224.24
Practical Fresh Fish,903.31
Ergonomic Fresh Soap,262.95
Incredible Concrete Fish,579
Refined Granite Salad,846.29
Gorgeous Plastic Hat,714.31
Oriental Cotton Ball,372.92
Luxurious Wooden Tuna,345.9
Incredible Steel Car,600.27
Awesome Concrete Chair,27.57
Handmade Granite Towels,72.41
Intelligent Frozen Cheese,742.7
Fantastic Steel Pizza,671.22
Licensed Fresh Hat,291.6
Ergonomic Steel Bike,607.39
Awesome Bronze Table,935.04
Tasty Metal Keyboard,667.94
Rustic Steel Tuna,543.14
Oriental Soft Salad,399.06
