Item,Value(Gold Drakes)
Small Wooden Gloves,454.32
Sleek Soft Tuna,482.11
Sleek Wooden Chicken,121.64
Intelligent Metal Towels,98.01
Practical Steel Fish,751.23
Incredible Rubber Bike,618.96
Awesome Steel Computer,135.76
Generic Frozen Chair,211.15
Recycled Bronze Computer,117.84
Sleek Plastic Pizza,856.8
Elegant Metal Cheese,779.99
Modern Plastic Pizza,825.94
Small Steel Soap,463.87
Licensed Cotton Pants,706.34
Refined Fresh Soap,96.76
Handmade Granite Bacon,813.38
Small Concrete Mouse,578.47
Awesome Plastic Bacon,447.05
Awesome Concrete Fish,193.52
Bespoke Granite Table,519.66
Ergonomic Wooden Sausages,451.83
Incredible Soft Tuna,182.26
Electronic Granite Cheese,143.09
Small Steel Table,779.72
Handmade Granite Chicken,111.53
