Item,Value(Gold Drakes)
Practical Metal Mouse,444.99
Generic Plastic Mouse,511.05
Fantastic Rubber Towels,932.81
Ergonomic Wooden Computer,59.37
Incredible Cotton Chair,710.19
Unbranded Fresh Hat,114.79
Handmade Steel Pants,439.3
Awesome Soft Bike,473.84
Practical Soft Sausages,215.37
Elegant Steel Table,994.09
Intelligent Granite Cheese,988.64
Electronic Granite Shirt,23.92
Unbranded Granite Car,90.76
Handmade Plastic Soap,531.29
Rustic Metal Salad,931.85
Electronic Rubber Sausages,723.89
Licensed Fresh Chicken,152.49
Licensed Frozen Bacon,242.82
Unbranded Frozen Fish,340.5
Fantastic Rubber Mouse,614.59
Fantastic Bronze Fish,676.98
Recycled Soft Car,60.37
Refined Cotton Tuna,278.81
