Item,Value(Gold Drakes)
Unbranded Plastic Sausages,367.72
Gorgeous Plastic Gloves,326.92
Generic Wooden Bike,671.83
Tasty Soft Chicken,716.29
Modern Soft Bacon,590.43
Oriental Metal Car,119.6
Modern Soft Mouse,41.41
Practical Bronze Hat,953.29
Intelligent Cotton Soap,341.96
Recycled Granite Gloves,946.48
Incredible Rubber Hat,714.3
Licensed Soft Pants,285.37
Small Concrete Sausages,274.44
Luxurious Fresh Chips,685.29
Tasty Cotton Gloves,307.39
Electronic Rubber Tuna,675.9
Gorgeous Rubber Shoes,571.86
Unbranded Wooden Towels,151.13
Elegant Soft Soap,294.02
Luxurious Metal Table,553.41
Licensed Soft Shoes,29.34
