Item,Value(Gold Drakes)
Refined Plastic Bike,323.92
Handcrafted Frozen Mouse,699.7
Handmade Steel Cheese,977.84
Small Granite Chips,485.66
Refined Fresh Towels,949.11
Rustic Cotton Mouse,73.43
Refined Concrete Keyboard,309.41
Handcrafted Granite Pizza,746.44
Electronic Soft Shoes,988.8
Awesome Plastic Computer,381.11
Tasty Cotton Soap,243.65
Refined Soft Table,481.11
Elegant Rubber Soap,811.66
Luxurious Fresh Gloves,875.2
Electronic Metal Cheese,317.17
Recycled Plastic Tuna,902.03
Refined Cotton Pants,455.39
Awesome Wooden Towels,657.45
Electronic Granite Bike,875.29
Tasty Plastic Salad,320.51
Refined Soft Computer,199
Rustic Metal Shoes,219.62
